Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:01:40 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 38.46 KIPS (50.00 KIPS)
** Heartbeat:  15% -- { 3000002 } -- 90.91 KIPS (58.82 KIPS)
** Heartbeat:  20% -- { 4000002 } -- 76.92 KIPS (62.50 KIPS)
** Heartbeat:  25% -- { 5000002 } -- 50.00 KIPS (59.52 KIPS)
** Heartbeat:  30% -- { 6000002 } -- 90.91 KIPS (63.16 KIPS)
** Heartbeat:  35% -- { 7000003 } -- 83.33 KIPS (65.42 KIPS)
** Heartbeat:  40% -- { 8000003 } -- 83.33 KIPS (67.23 KIPS)
** Heartbeat:  45% -- { 9000003 } -- 111.11 KIPS (70.31 KIPS)
** Heartbeat:  50% -- { 10000003 } -- 71.43 KIPS (70.42 KIPS)
** Heartbeat:  55% -- { 11000003 } -- 90.91 KIPS (71.90 KIPS)
** Heartbeat:  60% -- { 12000003 } -- 90.91 KIPS (73.17 KIPS)
** Heartbeat:  65% -- { 13000003 } -- 125.00 KIPS (75.58 KIPS)
** Heartbeat:  70% -- { 14000004 } -- 142.86 KIPS (78.21 KIPS)
** Heartbeat:  75% -- { 15000005 } -- 66.67 KIPS (77.32 KIPS)
** Heartbeat:  80% -- { 16000005 } -- 66.67 KIPS (76.56 KIPS)
** Heartbeat:  85% -- { 17000005 } -- 90.91 KIPS (77.27 KIPS)
** Heartbeat:  90% -- { 18000006 } -- 62.50 KIPS (76.27 KIPS)
** Heartbeat:  95% -- { 19000007 } -- 166.67 KIPS (78.51 KIPS)
** Core 0 Finished:    insts:20000000    cycles:26081795    time:8150560937500       -- 0.77 IPC (0.77 IPC) --  N/A  KIPS (78.74 KIPS)
Scarab finished at Tue Oct  8 22:05:54 2024

