Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:01:52 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 52.63 KIPS (60.61 KIPS)
** Heartbeat:  15% -- { 3000002 } -- 71.43 KIPS (63.83 KIPS)
** Heartbeat:  20% -- { 4000002 } -- 100.00 KIPS (70.18 KIPS)
** Heartbeat:  25% -- { 5000002 } -- 90.91 KIPS (73.53 KIPS)
** Heartbeat:  30% -- { 6000002 } -- 71.43 KIPS (73.17 KIPS)
** Heartbeat:  35% -- { 7000003 } -- 90.91 KIPS (75.27 KIPS)
** Heartbeat:  40% -- { 8000003 } -- 62.50 KIPS (73.39 KIPS)
** Heartbeat:  45% -- { 9000003 } -- 200.00 KIPS (78.95 KIPS)
** Heartbeat:  50% -- { 10000003 } -- 100.00 KIPS (80.65 KIPS)
** Heartbeat:  55% -- { 11000003 } -- 50.00 KIPS (76.39 KIPS)
** Heartbeat:  60% -- { 12000003 } -- 83.33 KIPS (76.92 KIPS)
** Heartbeat:  65% -- { 13000003 } -- 76.92 KIPS (76.92 KIPS)
** Heartbeat:  70% -- { 14000004 } -- 111.11 KIPS (78.65 KIPS)
** Heartbeat:  75% -- { 15000005 } -- 76.92 KIPS (78.53 KIPS)
** Heartbeat:  80% -- { 16000005 } -- 71.43 KIPS (78.05 KIPS)
** Heartbeat:  85% -- { 17000005 } -- 52.63 KIPS (75.89 KIPS)
** Heartbeat:  90% -- { 18000006 } -- 90.91 KIPS (76.60 KIPS)
** Heartbeat:  95% -- { 19000007 } -- 100.00 KIPS (77.55 KIPS)
** Core 0 Finished:    insts:20000000    cycles:25963839    time:8113699687500       -- 0.77 IPC (0.77 IPC) --  N/A  KIPS (76.05 KIPS)
Scarab finished at Tue Oct  8 22:06:15 2024

