Scarab gitrev: 3541854
Scarab started at Tue Oct  8 01:27:16 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (142.86 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 166.67 KIPS (153.85 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 142.86 KIPS (150.00 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 90.91 KIPS (129.03 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 76.92 KIPS (113.64 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 52.63 KIPS (95.24 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 83.33 KIPS (93.33 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 71.43 KIPS (89.89 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 142.86 KIPS (94.34 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 83.33 KIPS (93.22 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 142.86 KIPS (96.00 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 100.00 KIPS (96.30 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 111.11 KIPS (97.22 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 125.00 KIPS (98.68 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 90.91 KIPS (98.16 KIPS)
** Heartbeat:  85% -- { 17000026 } -- 125.00 KIPS (99.42 KIPS)
** Heartbeat:  90% -- { 18000026 } -- 125.00 KIPS (100.56 KIPS)
** Heartbeat:  95% -- { 19000026 } -- 111.11 KIPS (101.06 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12119595    time:3787373437500       -- 1.65 IPC (1.65 IPC) --  N/A  KIPS (99.50 KIPS)
Scarab finished at Tue Oct  8 01:30:37 2024

