Scarab gitrev: 3541854
Scarab started at Tue Oct  8 00:13:56 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (76.92 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 100.00 KIPS (86.96 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 76.92 KIPS (83.33 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 76.92 KIPS (81.63 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 90.91 KIPS (83.33 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 58.82 KIPS (77.92 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 90.91 KIPS (79.55 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 83.33 KIPS (80.00 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 90.91 KIPS (81.08 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 83.33 KIPS (81.30 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 90.91 KIPS (82.09 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 76.92 KIPS (81.63 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 90.91 KIPS (82.28 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 90.91 KIPS (82.84 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 90.91 KIPS (83.33 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 62.50 KIPS (81.63 KIPS)
** Heartbeat:  85% -- { 17000026 } -- 111.11 KIPS (82.93 KIPS)
** Heartbeat:  90% -- { 18000026 } -- 58.82 KIPS (81.08 KIPS)
** Heartbeat:  95% -- { 19000026 } -- 76.92 KIPS (80.85 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12156283    time:3798838437500       -- 1.65 IPC (1.65 IPC) --  N/A  KIPS (81.30 KIPS)
Scarab finished at Tue Oct  8 00:18:02 2024

