Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:14:14 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 142.86 KIPS (117.65 KIPS)
** Heartbeat:  15% -- { 3000001 } -- 142.86 KIPS (125.00 KIPS)
** Heartbeat:  20% -- { 4000001 } -- 142.86 KIPS (129.03 KIPS)
** Heartbeat:  25% -- { 5000001 } -- 166.67 KIPS (135.14 KIPS)
** Heartbeat:  30% -- { 6000001 } -- 200.00 KIPS (142.86 KIPS)
** Heartbeat:  35% -- { 7000002 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  40% -- { 8000002 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  45% -- { 9000003 } -- 111.11 KIPS (138.46 KIPS)
** Heartbeat:  50% -- { 10000003 } -- 125.00 KIPS (136.99 KIPS)
** Heartbeat:  55% -- { 11000004 } -- 200.00 KIPS (141.03 KIPS)
** Heartbeat:  60% -- { 12000005 } -- 200.00 KIPS (144.58 KIPS)
** Heartbeat:  65% -- { 13000005 } -- 200.00 KIPS (147.73 KIPS)
** Heartbeat:  70% -- { 14000005 } -- 200.00 KIPS (150.54 KIPS)
** Heartbeat:  75% -- { 15000005 } -- 333.33 KIPS (156.25 KIPS)
** Heartbeat:  80% -- { 16000005 } -- 250.00 KIPS (160.00 KIPS)
** Heartbeat:  85% -- { 17000005 } -- 250.00 KIPS (163.46 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 500.00 KIPS (169.81 KIPS)
** Heartbeat:  95% -- { 19000005 } -- 333.33 KIPS (174.31 KIPS)
** Core 0 Finished:    insts:20000001    cycles:21690751    time:6778359687500       -- 0.92 IPC (0.92 IPC) --  N/A  KIPS (180.18 KIPS)
Scarab finished at Tue Oct  8 22:16:05 2024

