Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:01:26 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (71.43 KIPS)
** Heartbeat:  10% -- { 2000006 } -- 41.67 KIPS (52.63 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 55.56 KIPS (53.57 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 142.86 KIPS (63.49 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 62.50 KIPS (63.29 KIPS)
** Heartbeat:  30% -- { 6000018 } -- 66.67 KIPS (63.83 KIPS)
** Heartbeat:  35% -- { 7000020 } -- 71.43 KIPS (64.81 KIPS)
** Heartbeat:  40% -- { 8000025 } -- 100.00 KIPS (67.80 KIPS)
** Heartbeat:  45% -- { 9000025 } -- 166.67 KIPS (72.58 KIPS)
** Heartbeat:  50% -- { 10000025 } -- 58.82 KIPS (70.92 KIPS)
** Heartbeat:  55% -- { 11000031 } -- 41.67 KIPS (66.67 KIPS)
** Heartbeat:  60% -- { 12000031 } -- 52.63 KIPS (65.22 KIPS)
** Heartbeat:  65% -- { 13000032 } -- 111.11 KIPS (67.36 KIPS)
** Heartbeat:  70% -- { 14000032 } -- 83.33 KIPS (68.29 KIPS)
** Heartbeat:  75% -- { 15000033 } -- 100.00 KIPS (69.77 KIPS)
** Heartbeat:  80% -- { 16000035 } -- 66.67 KIPS (69.57 KIPS)
** Heartbeat:  85% -- { 17000035 } -- 62.50 KIPS (69.11 KIPS)
** Heartbeat:  90% -- { 18000035 } -- 83.33 KIPS (69.77 KIPS)
** Heartbeat:  95% -- { 19000038 } -- 100.00 KIPS (70.90 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14241408    time:4450440000000       -- 1.40 IPC (1.40 IPC) --  N/A  KIPS (71.94 KIPS)
Scarab finished at Tue Oct  8 22:06:04 2024

