Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:13:10 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000006 } -- 0.00 KIPS (125.00 KIPS)
** Heartbeat:  10% -- { 2000012 } -- 166.67 KIPS (142.86 KIPS)
** Heartbeat:  15% -- { 3000019 } -- 76.92 KIPS (111.11 KIPS)
** Heartbeat:  20% -- { 4000025 } -- 76.92 KIPS (100.00 KIPS)
** Heartbeat:  25% -- { 5000028 } -- 111.11 KIPS (102.04 KIPS)
** Heartbeat:  30% -- { 6000028 } -- 100.00 KIPS (101.70 KIPS)
** Heartbeat:  35% -- { 7000031 } -- 83.33 KIPS (98.59 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 83.33 KIPS (96.39 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 90.91 KIPS (95.75 KIPS)
** Heartbeat:  50% -- { 10000038 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  55% -- { 11000042 } -- 90.91 KIPS (94.83 KIPS)
** Heartbeat:  60% -- { 12000050 } -- 83.33 KIPS (93.75 KIPS)
** Heartbeat:  65% -- { 13000050 } -- 142.86 KIPS (96.30 KIPS)
** Heartbeat:  70% -- { 14000057 } -- 166.67 KIPS (99.29 KIPS)
** Heartbeat:  75% -- { 15000062 } -- 200.00 KIPS (102.74 KIPS)
** Heartbeat:  80% -- { 16000063 } -- 200.00 KIPS (105.96 KIPS)
** Heartbeat:  85% -- { 17000064 } -- 200.00 KIPS (108.97 KIPS)
** Heartbeat:  90% -- { 18000065 } -- 250.00 KIPS (112.50 KIPS)
** Heartbeat:  95% -- { 19000067 } -- 250.00 KIPS (115.85 KIPS)
** Core 0 Finished:    insts:20000003    cycles:14929511    time:4665472187500       -- 1.34 IPC (1.34 IPC) --  N/A  KIPS (119.05 KIPS)
Scarab finished at Tue Oct  8 22:15:58 2024

