Scarab gitrev: 3541854
Scarab started at Tue Oct  8 22:13:58 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000006 } -- 0.00 KIPS (166.67 KIPS)
** Heartbeat:  10% -- { 2000012 } -- 76.92 KIPS (105.26 KIPS)
** Heartbeat:  15% -- { 3000019 } -- 83.33 KIPS (96.77 KIPS)
** Heartbeat:  20% -- { 4000025 } -- 125.00 KIPS (102.56 KIPS)
** Heartbeat:  25% -- { 5000028 } -- 125.00 KIPS (106.38 KIPS)
** Heartbeat:  30% -- { 6000028 } -- 166.67 KIPS (113.21 KIPS)
** Heartbeat:  35% -- { 7000031 } -- 142.86 KIPS (116.67 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 125.00 KIPS (117.65 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 111.11 KIPS (116.88 KIPS)
** Heartbeat:  50% -- { 10000038 } -- 100.00 KIPS (114.94 KIPS)
** Heartbeat:  55% -- { 11000042 } -- 142.86 KIPS (117.02 KIPS)
** Heartbeat:  60% -- { 12000050 } -- 200.00 KIPS (121.21 KIPS)
** Heartbeat:  65% -- { 13000050 } -- 200.00 KIPS (125.00 KIPS)
** Heartbeat:  70% -- { 14000057 } -- 200.00 KIPS (128.44 KIPS)
** Heartbeat:  75% -- { 15000062 } -- 250.00 KIPS (132.74 KIPS)
** Heartbeat:  80% -- { 16000063 } -- 200.00 KIPS (135.59 KIPS)
** Heartbeat:  85% -- { 17000064 } -- 333.33 KIPS (140.50 KIPS)
** Heartbeat:  90% -- { 18000065 } -- 333.33 KIPS (145.16 KIPS)
** Heartbeat:  95% -- { 19000067 } -- 333.33 KIPS (149.61 KIPS)
** Core 0 Finished:    insts:20000003    cycles:13754597    time:4298311562500       -- 1.45 IPC (1.45 IPC) --  N/A  KIPS (155.04 KIPS)
Scarab finished at Tue Oct  8 22:16:07 2024

